Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\The Black Hellebore\Project Outputs for The Black Hellebore\Pick Place\Pick Place for PCB1(Variant of The Black Hellebore).csv

========================================================================================================================
File Design Information:

Date:       12/02/23
Time:       10:59
Revision:   5a805be4f5b726a4672e76cedfe4de772dec07ab
Variant:    Variant of The Black Hellebore
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"FD2","FIDUCIAL","BottomLayer","FID1X2R","1.0160","1.0160","90","Fiducial - Round 1x2mm"
"FD1","FIDUCIAL","BottomLayer","FID1X2R","281.1780","90.6780","180","Fiducial - Round 1x2mm"
"R9","RMCF0603FT68K0","BottomLayer","FP-RMCF0603-MFG","271.7800","23.4950","90","Res Thick Film 0603 68K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"R8","RMCF0603JT100K","BottomLayer","FP-RMCF0603-MFG","274.1930","19.5580","90","Res Thick Film 0603 100K Ohm 5% 1/10W ±200ppm/°C Molded SMD Paper T/R"
"D62","RB520S30T5G","BottomLayer","ONSC-SOD-523-2-502-01_V","275.0820","21.7170","180","RB520S30T5G - 30 V 200 mA Surface Mount Schottky Diode - SOD-523"
"U4","AP22653AW6-7","BottomLayer","SOT26-A1_DIO","274.5740","24.2570","180","PRECISION ADJUSTABLE CURRENT-LIMITED POWER SWITCHES, -40 to 85°C pF, RoHS"
"C73","CC0603JRX7R7BB105","BottomLayer","FP-CC0603-DA-MFG","275.8440","19.5580","90","Cap Ceramic 1uF 16V X7R 5% SMD 0603 125°C Paper T/R"
"C72","GRM21BR71A106KA73K","BottomLayer","FP-GRM21B-0_15-MFG","274.8280","27.3050","0","Cap Ceramic 10uF 10V X7R 10% Pad SMD 0805 125C T/R"
"U2","AP2139AK-3.3TRG1","BottomLayer","DBV0005A-IPC_A","112.6490","8.1280","270","IC REG LDO 3.3V 0.25A SOT25"
"R2","RMCF0603JT10K0","BottomLayer","FP-RMCF0603-MFG","274.9550","30.8610","0","Res Thick Film 0603 10K Ohm 5% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
